"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"345"	44220	"SPRINGFIELD, OH"	53678	53500
"346"	44300	"STATE COLLEGE, PA"	65121	66800
"347"	44600	"STEUBENVILLE-WEIRTON, OH-WV"	48367	50300
"348"	44700	"STOCKTON, CA"	61292	58600
"349"	44940	"SUMTER, SC"	45460	44900
"350"	45060	"SYRACUSE, NY"	63453	65800
"351"	45104	"TACOMA, WA"	68462	70200
"352"	45220	"TALLAHASSEE, FL"	61311	60000
"353"	45300	"TAMPA-ST. PETERSBURG-CLEARWATER, FL"	57333	56800
"354"	45460	"TERRE HAUTE, IN"	51224	53600
"355"	45500	"TEXARKANA, TX-TEXARKANA, AR"	51710	57300
"356"	45780	"TOLEDO, OH"	59003	57100
"357"	45820	"TOPEKA, KS"	61110	62100
"358"	45940	"TRENTON-EWING, NJ"	88694	90900
"359"	46060	"TUCSON, AZ"	57377	59900
"360"	46140	"TULSA, OK"	58038	59700
"361"	46220	"TUSCALOOSA, AL"	55548	55700
"362"	46340	"TYLER, TX"	57225	64200
"363"	46540	"UTICA-ROME, NY"	56800	63800
"364"	46660	"VALDOSTA, GA"	47027	45400
"365"	46700	"VALLEJO-FAIRFIELD, CA"	77321	78800
"366"	47020	"VICTORIA, TX"	54731	56400
"367"	47220	"VINELAND-MILLVILLE-BRIDGETON, NJ"	60642	68600
"368"	47260	"VIRGINIA BEACH-NORFOLK-NEWPORT NEWS, VA-NC"	68178	73300
"369"	47300	"VISALIA-PORTERVILLE, CA"	47126	48500
"370"	47380	"WACO, TX"	51191	50000
"371"	47580	"WARNER ROBINS, GA"	67227	68700
"372"	47644	"WARREN-TROY-FARMINGTON HILLS, MI"	75314	72400
"373"	47894	"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV"	100890	105900
"374"	47940	"WATERLOO-CEDAR FALLS, IA"	60582	64100
"375"	48140	"WAUSAU, WI"	65566	65200
"376"	48300	"WENATCHEE-EAST WENATCHEE, WA"	57045	58700
