"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"317"	40900	"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA"	71829	75200
"318"	40980	"SAGINAW, MI"	54210	57300
"319"	41060	"ST. CLOUD, MN"	69359	70000
"320"	41100	"ST. GEORGE, UT"	58145	59000
"321"	41140	"ST. JOSEPH, MO-KS"	59820	61500
"322"	41180	"ST. LOUIS, MO-IL"	70718	74500
"323"	41420	"SALEM, OR"	58033	58400
"324"	41500	"SALINAS, CA"	62441	63100
"325"	41540	"SALISBURY, MD-DE"	63091	68800
"326"	41620	"SALT LAKE CITY, UT"	71849	75400
"327"	41660	"SAN ANGELO, TX"	59830	61400
"328"	41700	"SAN ANTONIO-NEW BRAUNFELS, TX"	62228	63500
"329"	41740	"SAN DIEGO-CARLSBAD, CA"	75179	79300
"330"	41884	"SAN FRANCISCO-REDWOOD CITY-SOUTH SAN FRANCISCO, CA"	103742	113100
"331"	41900	"SAN GERMÁN, PR"	19414	18400
"332"	41940	"SAN JOSE-SUNNYVALE-SANTA CLARA, CA"	107126	113300
"333"	41980	"SAN JUAN-CAROLINA-CAGUAS, PR"	25617	21600
"334"	42020	"SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA"	76771	83200
"335"	42034	"SAN RAFAEL, CA"	121130	131500
"336"	42100	"SANTA CRUZ-WATSONVILLE, CA"	81912	83300
"337"	42140	"SANTA FE, NM"	64734	62200
"338"	42200	"SANTA MARIA-SANTA BARBARA, CA"	74824	73900
"339"	42220	"SANTA ROSA, CA"	77587	83900
"340"	42340	"SAVANNAH, GA"	61754	64900
"341"	42540	"SCRANTON--WILKES-BARRE--HAZLETON, PA"	59887	59500
"342"	42644	"SEATTLE-BELLEVUE-EVERETT, WA"	92317	96000
"343"	42680	"SEBASTIAN-VERO BEACH, FL"	58448	61900
"344"	42700	"SEBRING, FL"	42321	42200
"345"	43100	"SHEBOYGAN, WI"	66599	69000
"346"	43300	"SHERMAN-DENISON, TX"	60873	66700
"347"	43340	"SHREVEPORT-BOSSIER CITY, LA"	56158	54700
"348"	43420	"SIERRA VISTA-DOUGLAS, AZ"	55471	55900
"349"	43524	"SILVER SPRING-FREDERICK-ROCKVILLE, MD"	112655	114200
"350"	43580	"SIOUX CITY, IA-NE-SD"	60974	62300
"351"	43620	"SIOUX FALLS, SD"	72948	76800
"352"	43780	"SOUTH BEND-MISHAWAKA, IN-MI"	57692	61500
"353"	43900	"SPARTANBURG, SC"	52792	52700
"354"	44060	"SPOKANE-SPOKANE VALLEY, WA"	61864	65700
"355"	44100	"SPRINGFIELD, IL"	73402	75500
"356"	44140	"SPRINGFIELD, MA"	67381	66600
"357"	44180	"SPRINGFIELD, MO"	54948	56900
"358"	44220	"SPRINGFIELD, OH"	55198	54500
"359"	44300	"STATE COLLEGE, PA"	74118	75000
"360"	44420	"STAUNTON-WAYNESBORO, VA"	60603	64500
"361"	44700	"STOCKTON-LODI, CA"	59946	61100
"362"	44940	"SUMTER, SC"	49962	46700
"363"	45060	"SYRACUSE, NY"	68468	68000
"364"	45104	"TACOMA-LAKEWOOD, WA"	71304	74500
"365"	45220	"TALLAHASSEE, FL"	64055	68400
"366"	45300	"TAMPA-ST. PETERSBURG-CLEARWATER, FL"	58916	59800
"367"	45460	"TERRE HAUTE, IN"	53828	52900
"368"	45500	"TEXARKANA, TX-AR"	51151	52600
"369"	45540	"THE VILLAGES, FL"	60099	60000
"370"	45780	"TOLEDO, OH"	60528	61500
"371"	45820	"TOPEKA, KS"	64984	68300
"372"	45940	"TRENTON, NJ"	94908	95400
"373"	46060	"TUCSON, AZ"	57457	59300
"374"	46140	"TULSA, OK"	61182	63900
"375"	46220	"TUSCALOOSA, AL"	56265	61100
"376"	46340	"TYLER, TX"	57823	58000
"377"	46520	"URBAN HONOLULU, HI"	86366	86600
"378"	46540	"UTICA-ROME, NY"	61239	62100
"379"	46660	"VALDOSTA, GA"	47592	45900
"380"	46700	"VALLEJO-FAIRFIELD, CA"	77061	80400
"381"	47020	"VICTORIA, TX"	60302	63800
"382"	47220	"VINELAND-BRIDGETON, NJ"	57550	54200
"383"	47260	"VIRGINIA BEACH-NORFOLK-NEWPORT NEWS, VA-NC"	70501	73000
"384"	47300	"VISALIA-PORTERVILLE, CA"	44814	47300
"385"	47380	"WACO, TX"	54026	58200
"386"	47460	"WALLA WALLA, WA"	61619	51900
"387"	47580	"WARNER ROBINS, GA"	61022	57900
"388"	47664	"WARREN-TROY-FARMINGTON HILLS, MI"	76739	79600
"389"	47894	"WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV"	106762	107600
"390"	47940	"WATERLOO-CEDAR FALLS, IA"	65749	68000
"391"	48060	"WATERTOWN-FORT DRUM, NY"	57300	62400
"392"	48140	"WAUSAU, WI"	66112	72600
"393"	48260	"WEIRTON-STEUBENVILLE, WV-OH"	52770	53800
"394"	48300	"WENATCHEE, WA"	60276	62800
"395"	48424	"WEST PALM BEACH-BOCA RATON-DELRAY BEACH, FL"	65914	67900
"396"	48540	"WHEELING, WV-OH"	56853	56100
"397"	48620	"WICHITA, KS"	64897	66400
"398"	48660	"WICHITA FALLS, TX"	57690	58700
"399"	48700	"WILLIAMSPORT, PA"	60191	60500
"400"	48864	"WILMINGTON, DE-MD-NJ"	80707	81400
"401"	48900	"WILMINGTON, NC"	64357	68200
"402"	49020	"WINCHESTER, VA-WV"	69817	68100
"403"	49180	"WINSTON-SALEM, NC"	56536	56900
"404"	49340	"WORCESTER, MA-CT"	81137	85700
"405"	49420	"YAKIMA, WA"	49907	52200
"406"	49620	"YORK-HANOVER, PA"	69846	70800
"407"	49660	"YOUNGSTOWN-WARREN-BOARDMAN, OH-PA"	55174	54600
"408"	49700	"YUBA CITY, CA"	54931	55500
"409"	49740	"YUMA, AZ"	44088	44500
"410"	99901	"nonmetro portion of ALABAMA"	45334	45700
"411"	99902	"nonmetro portion of ALASKA"	76010	78400
"412"	99904	"nonmetro portion of ARIZONA"	44368	47100
"413"	99905	"nonmetro portion of ARKANSAS"	45060	46500
"414"	99906	"nonmetro portion of CALIFORNIA"	56948	59900
"415"	99908	"nonmetro portion of COLORADO"	60701	63800
"416"	99909	"nonmetro portion of CONNECTICUT"	89735	91700
"417"	99912	"nonmetro portion of FLORIDA"	46600	48400
