"cbsa"	"md"	"csa"	"cbsa_name"	"md_name"	"csa_name"	"is_metro"	"fips"	"component_name"	"is_central"
"136"	12420	NA	NA	"Austin-Round Rock, TX"	NA	NA	TRUE	48491	"Williamson County"	TRUE
"137"	12460	NA	NA	"Bainbridge, GA"	NA	NA	FALSE	13087	"Decatur County"	TRUE
"138"	12540	NA	NA	"Bakersfield, CA"	NA	NA	TRUE	6029	"Kern County"	TRUE
"139"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24003	"Anne Arundel County"	TRUE
"140"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24005	"Baltimore County"	TRUE
"141"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24013	"Carroll County"	FALSE
"142"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24025	"Harford County"	FALSE
"143"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24027	"Howard County"	TRUE
"144"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24035	"Queen Anne's County"	FALSE
"145"	12580	NA	548	"Baltimore-Towson, MD"	NA	"Washington-Baltimore-Northern Virginia, DC-MD-VA-WV"	TRUE	24510	"Baltimore city"	TRUE
"146"	12620	NA	NA	"Bangor, ME"	NA	NA	TRUE	23019	"Penobscot County"	TRUE
"147"	12660	NA	358	"Baraboo, WI"	NA	"Madison-Baraboo, WI"	FALSE	55111	"Sauk County"	TRUE
"148"	12700	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	25001	"Barnstable County"	TRUE
"149"	12740	NA	NA	"Barre, VT"	NA	NA	FALSE	50023	"Washington County"	TRUE
"150"	12780	NA	538	"Bartlesville, OK"	NA	"Tulsa-Bartlesville, OK"	FALSE	40147	"Washington County"	TRUE
"151"	12820	NA	384	"Bastrop, LA"	NA	"Monroe-Bastrop, LA"	FALSE	22067	"Morehouse Parish"	TRUE
"152"	12860	NA	464	"Batavia, NY"	NA	"Rochester-Batavia-Seneca Falls, NY"	FALSE	36037	"Genesee County"	TRUE
"153"	12900	NA	NA	"Batesville, AR"	NA	NA	FALSE	5063	"Independence County"	TRUE
"154"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22005	"Ascension Parish"	TRUE
"155"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22033	"East Baton Rouge Parish"	TRUE
"156"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22037	"East Feliciana Parish"	FALSE
"157"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22047	"Iberville Parish"	FALSE
"158"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22063	"Livingston Parish"	TRUE
"159"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22077	"Pointe Coupee Parish"	FALSE
"160"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22091	"St. Helena Parish"	FALSE
"161"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22121	"West Baton Rouge Parish"	TRUE
"162"	12940	NA	132	"Baton Rouge, LA"	NA	"Baton Rouge-Pierre Part, LA"	TRUE	22125	"West Feliciana Parish"	FALSE
"163"	12980	NA	NA	"Battle Creek, MI"	NA	NA	TRUE	26025	"Calhoun County"	TRUE
"164"	13020	NA	474	"Bay City, MI"	NA	"Saginaw-Bay City-Saginaw Township North, MI"	TRUE	26017	"Bay County"	TRUE
"165"	13060	NA	288	"Bay City, TX"	NA	"Houston-Baytown-Huntsville, TX"	FALSE	48321	"Matagorda County"	TRUE
"166"	13100	NA	NA	"Beatrice, NE"	NA	NA	FALSE	31067	"Gage County"	TRUE
"167"	13140	NA	NA	"Beaumont-Port Arthur, TX"	NA	NA	TRUE	48199	"Hardin County"	FALSE
"168"	13140	NA	NA	"Beaumont-Port Arthur, TX"	NA	NA	TRUE	48245	"Jefferson County"	TRUE
"169"	13140	NA	NA	"Beaumont-Port Arthur, TX"	NA	NA	TRUE	48361	"Orange County"	FALSE
"170"	13180	NA	252	"Beaver Dam, WI"	NA	"Fond du Lac-Beaver Dam, WI"	FALSE	55027	"Dodge County"	TRUE
"171"	13220	NA	138	"Beckley, WV"	NA	"Beckley-Oak Hill, WV"	FALSE	54081	"Raleigh County"	TRUE
"172"	13260	NA	NA	"Bedford, IN"	NA	NA	FALSE	18093	"Lawrence County"	TRUE
"173"	13300	NA	NA	"Beeville, TX"	NA	NA	FALSE	48025	"Bee County"	TRUE
"174"	13340	NA	NA	"Bellefontaine, OH"	NA	NA	FALSE	39091	"Logan County"	TRUE
"175"	13380	NA	NA	"Bellingham, WA"	NA	NA	TRUE	53073	"Whatcom County"	TRUE
"176"	13420	NA	NA	"Bemidji, MN"	NA	NA	FALSE	27007	"Beltrami County"	TRUE
"177"	13460	NA	140	"Bend, OR"	NA	"Bend-Prineville, OR"	TRUE	41017	"Deschutes County"	TRUE
"178"	13500	NA	NA	"Bennettsville, SC"	NA	NA	FALSE	45069	"Marlboro County"	TRUE
"179"	13540	NA	NA	"Bennington, VT"	NA	NA	FALSE	50003	"Bennington County"	TRUE
"180"	13620	NA	NA	"Berlin, NH-VT"	NA	NA	FALSE	33007	"Coos County"	TRUE
"181"	13620	NA	NA	"Berlin, NH-VT"	NA	NA	FALSE	50009	"Essex County"	FALSE
"182"	13660	NA	NA	"Big Rapids, MI"	NA	NA	FALSE	26107	"Mecosta County"	TRUE
"183"	13700	NA	NA	"Big Spring, TX"	NA	NA	FALSE	48227	"Howard County"	TRUE
"184"	13740	NA	NA	"Billings, MT"	NA	NA	TRUE	30009	"Carbon County"	FALSE
"185"	13740	NA	NA	"Billings, MT"	NA	NA	TRUE	30111	"Yellowstone County"	TRUE
"186"	13780	NA	NA	"Binghamton, NY"	NA	NA	TRUE	36007	"Broome County"	TRUE
"187"	13780	NA	NA	"Binghamton, NY"	NA	NA	TRUE	36107	"Tioga County"	TRUE
"188"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1007	"Bibb County"	FALSE
"189"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1009	"Blount County"	FALSE
"190"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1021	"Chilton County"	FALSE
"191"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1073	"Jefferson County"	TRUE
"192"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1115	"St. Clair County"	FALSE
"193"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1117	"Shelby County"	TRUE
"194"	13820	NA	142	"Birmingham-Hoover, AL"	NA	"Birmingham-Hoover-Cullman, AL"	TRUE	1127	"Walker County"	FALSE
"195"	13860	NA	NA	"Bishop, CA"	NA	NA	FALSE	6027	"Inyo County"	TRUE
"196"	13900	NA	NA	"Bismarck, ND"	NA	NA	TRUE	38015	"Burleigh County"	TRUE
"197"	13900	NA	NA	"Bismarck, ND"	NA	NA	TRUE	38059	"Morton County"	TRUE
"198"	13940	NA	292	"Blackfoot, ID"	NA	"Idaho Falls-Blackfoot, ID"	FALSE	16011	"Bingham County"	TRUE
"199"	13980	NA	NA	"Blacksburg-Christiansburg-Radford, VA"	NA	NA	TRUE	51071	"Giles County"	FALSE
"200"	13980	NA	NA	"Blacksburg-Christiansburg-Radford, VA"	NA	NA	TRUE	51121	"Montgomery County"	TRUE
"201"	13980	NA	NA	"Blacksburg-Christiansburg-Radford, VA"	NA	NA	TRUE	51155	"Pulaski County"	FALSE
"202"	13980	NA	NA	"Blacksburg-Christiansburg-Radford, VA"	NA	NA	TRUE	51750	"Radford city"	TRUE
"203"	14020	NA	NA	"Bloomington, IN"	NA	NA	TRUE	18055	"Greene County"	FALSE
"204"	14020	NA	NA	"Bloomington, IN"	NA	NA	TRUE	18105	"Monroe County"	TRUE
"205"	14020	NA	NA	"Bloomington, IN"	NA	NA	TRUE	18119	"Owen County"	FALSE
"206"	14060	NA	NA	"Bloomington-Normal, IL"	NA	NA	TRUE	17113	"McLean County"	TRUE
"207"	14100	NA	NA	"Bloomsburg-Berwick, PA"	NA	NA	FALSE	42037	"Columbia County"	TRUE
"208"	14100	NA	NA	"Bloomsburg-Berwick, PA"	NA	NA	FALSE	42093	"Montour County"	TRUE
"209"	14140	NA	NA	"Bluefield, WV-VA"	NA	NA	FALSE	51185	"Tazewell County"	TRUE
"210"	14140	NA	NA	"Bluefield, WV-VA"	NA	NA	FALSE	54055	"Mercer County"	TRUE
"211"	14180	NA	NA	"Blytheville, AR"	NA	NA	FALSE	5093	"Mississippi County"	TRUE
"212"	14220	NA	406	"Bogalusa, LA"	NA	"New Orleans-Metairie-Bogalusa, LA"	FALSE	22117	"Washington Parish"	TRUE
"213"	14260	NA	NA	"Boise City-Nampa, ID"	NA	NA	TRUE	16001	"Ada County"	TRUE
"214"	14260	NA	NA	"Boise City-Nampa, ID"	NA	NA	TRUE	16015	"Boise County"	FALSE
"215"	14260	NA	NA	"Boise City-Nampa, ID"	NA	NA	TRUE	16027	"Canyon County"	FALSE
"216"	14260	NA	NA	"Boise City-Nampa, ID"	NA	NA	TRUE	16045	"Gem County"	FALSE
